country,continent,year,lifeExp,pop,gdpPercap,childMort,co2Emit,healthExp
Singapore,Asia,2007,79.972,4553009,47143.17964,2.9,35262.33333,1690.19136298
Slovak Republic,Europe,1997,72.71,5383010,12126.23065,13.3,41979.66667,563.6211653
Slovak Republic,Europe,2002,73.8,5410052,13638.77837,11,39248,729.88258344
Slovak Republic,Europe,2007,74.663,5447502,18678.31435,9.1,36597,1619.35489847999
Slovenia,Europe,1997,75.13,2011612,17161.10735,6.5,15840,1151.08707968
Slovenia,Europe,2002,76.66,2011497,20660.01936,5,15396.33333,1703.2147291000001
Slovenia,Europe,2007,77.926,2009245,25768.25759,3.9,16192,2119.87570451
Somalia,Africa,1997,43.795,6633514,930.5964284,174.4,NA,16.4041969
Somalia,Africa,2002,45.936,7753310,882.0818218,174.4,572,NA
Somalia,Africa,2007,48.159,9118773,926.1410683,171.8,605,NA
South Africa,Africa,1997,60.236,42835005,7479.188244,67.3,371294,509.4191613
South Africa,Africa,2002,53.365,44433622,7710.946444,76.3,347655,625.10525902
South Africa,Africa,2007,49.339,43997828,9269.657808,70.1,443608,831.99377423
Spain,Europe,1997,78.77,39855442,20445.29896,7.3,252145.6667,1297.61996272
Spain,Europe,2002,79.78,40152517,24835.47166,6.2,314490,1745.0445442
Spain,Europe,2007,80.941,40448191,28821.0637,5.2,358204,2734.91714573
Sri Lanka,Asia,1997,70.457,18698655,2664.477257,18.7,7505.666667,75.57764788
Sri Lanka,Asia,2002,70.815,19576783,3015.378833,15.4,11007.33333,108.02195609
Sri Lanka,Asia,2007,72.396,20378239,3970.095407,12.5,12459.33333,156.72906543
Sudan,Africa,1997,55.373,32160729,1632.210764,113.9,5419.333333,40.82570499
Sudan,Africa,2002,56.369,37090298,1993.398314,100.2,8118,49.18832497
Sudan,Africa,2007,58.556,42292929,2602.394995,87,13148.66667,120.49439538
Swaziland,Africa,1997,54.289,1054486,3876.76846,92.6,1202.666667,159.45698925
Swaziland,Africa,2002,43.869,1130269,4128.116943,117,1125.666667,202.53363173
Swaziland,Africa,2007,39.613,1133066,4513.480643,113,1063.333333,291.27454872
Sweden,Europe,1997,79.39,8897619,25266.59499,4.3,51839.33333,1885.26025981
Sweden,Europe,2002,80.04,8954175,29341.63093,4,57420,2701.79876152
Sweden,Europe,2007,80.884,9031088,33859.74835,3.3,48055.33333,3431.91427441
Switzerland,Europe,1997,79.37,7193761,32135.32301,6,41462.66667,2834.26453043
Switzerland,Europe,2002,80.62,7361757,34480.95771,5.5,40714.66667,3643.78884951
Switzerland,Europe,2007,81.701,7554661,37506.41907,4.8,38016,4540.27422564
Syria,Asia,1997,71.527,15081016,4014.238972,26.8,40964,174.0183331
Syria,Asia,2002,73.053,17155814,4090.925331,21.4,39064.66667,172.40176902
Syria,Asia,2007,74.143,19314747,4184.548089,17.3,57423.66667,177.25140662
Taiwan,Asia,1997,75.25,21628605,20206.82098,NA,200911.3333,NA
Taiwan,Asia,2002,76.99,22454239,23235.42329,NA,237820,NA
Taiwan,Asia,2007,78.4,23174294,28718.27684,NA,274527,NA
Tanzania,Africa,1997,48.466,30686889,789.1862231,147,2882,24.49790231
Tanzania,Africa,2002,49.651,34593779,899.0742111,112.6,3589.666667,28.70003648
Tanzania,Africa,2007,52.517,38139640,1107.482182,78.1,6149,68.02009366
Thailand,Asia,1997,67.521,60216677,5852.625497,25.8,210045,196.09602102
Thailand,Asia,2002,68.564,62806748,5913.187529,20.5,230615,196.9609901
Thailand,Asia,2007,70.616,65068149,7458.396327,16.3,275608.6667,274.62418116
Togo,Africa,1997,58.39,4320890,982.2869243,129.9,986.3333333,41.86389228
Togo,Africa,2002,57.561,4977378,886.2205765,114.4,1232,38.2423521
Togo,Africa,2007,58.42,5701579,882.9699438,99.2,1316.333333,63.14851567
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126,28.8,19228,413.68300563
Trinidad and Tobago,Americas,2002,68.976,1101832,11460.60023,28.3,26887.66667,683.9231502
Trinidad and Tobago,Americas,2007,69.819,1056608,18008.50924,25.6,35053.33333,1210.53585076
Tunisia,Africa,1997,71.973,9231669,4876.798614,39.3,16943.66667,232.12636143
Tunisia,Africa,2002,73.042,9770575,5722.895655,27.8,21013.66667,310.63699992
Tunisia,Africa,2007,73.923,10276158,7092.923025,20.5,23866.33333,469.35887272
Turkey,Europe,1997,68.835,63047647,6601.429915,48.6,198509.6667,259.92576124
Turkey,Europe,2002,70.845,67308928,6508.085718,34.4,205659.6667,464.26821849
Turkey,Europe,2007,71.777,71158647,8458.276384,23.9,284632.3333,839.49659973
Uganda,Africa,1997,44.578,21210254,816.559081,156.6,1147.666667,36.45742756
Uganda,Africa,2002,47.813,24739869,927.7210018,132.2,1668.333333,57.68425454
Uganda,Africa,2007,51.542,29170398,1056.380121,95.3,3127.666667,100.81914387
United Kingdom,Europe,1997,77.218,58808266,26074.53136,6.9,553622.6667,1480.87973246
United Kingdom,Europe,2002,78.471,59912431,29478.99919,6.3,531890.3333,2183.82290874
United Kingdom,Europe,2007,79.425,60776238,33203.26128,5.8,528583,3007.45144787
United States,Americas,1997,76.81,272911760,35767.43303,8.9,5500865.333,4054.62721906
United States,Americas,2002,77.31,287675526,39097.09955,8.2,5650443.333,5452.99608058
United States,Americas,2007,78.242,301139947,42951.65309,7.8,5828166.667,7437.29229818
Uruguay,Americas,1997,74.223,3262838,9230.240708,19.2,5555,684.03321759
Uruguay,Americas,2002,75.307,3363085,7727.002004,15.8,4620,642.43226709
Uruguay,Americas,2007,76.384,3447496,10611.46299,13.3,5998.666667,896.77824586
Venezuela,Americas,1997,72.146,22374398,10165.49518,24.5,133950.6667,337.27742329
Venezuela,Americas,2002,72.766,24287670,8605.047831,20.4,193244.3333,451.54932779
Venezuela,Americas,2007,73.747,26084662,11415.80569,17.4,174533.3333,700.84207682
Vietnam,Asia,1997,70.672,76048996,1385.896769,38,45078,56.38540247
Vietnam,Asia,2002,73.017,80908147,1764.456677,31.4,70799.66667,83.50301315
Vietnam,Asia,2007,74.249,85262356,2441.576404,26.9,111778.3333,182.70019498
West Bank and Gaza,Asia,1997,71.096,2826046,7110.667619,33.1,396,NA
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575,28.2,1155,NA
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798,25.2,2324.666667,NA
Zambia,Africa,1997,40.238,9417789,1071.353818,170.2,2390.666667,56.15120431
Zambia,Africa,2002,39.193,10595811,1071.613938,140.7,1969,64.95458479
Zambia,Africa,2007,42.384,11746035,1271.211593,98.9,1719.666667,76.98897776
Zimbabwe,Africa,1997,46.809,11404948,792.4499603,85.7,14406.33333,67.27822841
Zimbabwe,Africa,2002,39.989,11926563,672.0386227,90.6,11931.33333,NA
Zimbabwe,Africa,2007,43.487,12311143,469.7092981,98.7,9617.666667,NA
